Organization,URL,Product Name,Source Country,Manufacturer,Distributor,Publish Date,Reason,More Info
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-1103-2022,Ondansetron,United States,Sandoz Pharma,,2022-06-15T00:00:00,cGMP deviations: Temperature abuse,"Ondansetron HCL, Tab 8 mg filmcoated, 30-count bottle, Rx only, MFG: Sandoz Pharma, NDC 65862-188-30 McKesson Medical-Surgical (MMS) is not able to identify the particular lot number received by a particular consignee for the recalled prescription products. Each letter includes the date it was distributed to customers and the dates that impacted product may have been shipped to the customer."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-1016-2022,Firmagon,United States,Ferring Pharmaceuticals Inc.,,2022-06-15T00:00:00,cGMP deviations: Temperature abuse,"Firmagon (degarelix for injection) 240 mg, Starting Dose, packaged in a kit, Rx only, MFG: Ferring Pharmaceuticals Inc., NDC 55566-8403-01 McKesson Medical-Surgical (MMS) is not able to identify the particular lot number received by a particular consignee for the recalled prescription products. Each letter includes the date it was distributed to customers and the dates that impacted product may have been shipped to the customer."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-1027-2022,Aprepitant,United States,Sandoz Pharma,,2022-06-15T00:00:00,cGMP deviations: Temperature abuse,"Aprepitant Capsule, USP, 40 mg, 1 capsule per unit dose package, Rx only, MFG: Sandoz Pharma, NDC 0781-2321-06 McKesson Medical-Surgical (MMS) is not able to identify the particular lot number received by a particular consignee for the recalled prescription products. Each letter includes the date it was distributed to customers and the dates that impacted product may have been shipped to the customer."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0943-2022,Ondansetron,United States,,,2022-06-01T00:00:00,Lack of assurance of sterility.,"Ondansetron Hydrochloride, 1 mg/mL, Multi-Dose 30 mL vial, Rx Only, Olympia Pharmaceuticals, 6700 Conroy Rd., Ste. 155 Orlando, FL 32835. NDC 73198-0127-30. Lot: B24015-22 BUD: 8/15/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0881-2022,Sirolimus,United States,Apotex Inc. Toronto,,2022-05-25T00:00:00,Failed Dissolution Specifications: Sirolimus Oral Solution recalled due to lot RZ1598 exceeded the specification limit at the 14-month timepoint.,"Sirolimus Oral Solution, 1 mg/mL, 60 mL bottle, Rx Only, Manufactured by: Apotex Inc. Toronto, Ontario Canada M9L 1T9 Manufactured for: Apotex Corp. Weston, Florida 33326, NDC 60505-6197-2 Lot: RZ1598, exp. date 02/2023"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0855-2022,Mvasi,United States,Amgen Inc. Thousand Oaks,,2022-05-18T00:00:00,"Defective container: loose crimp defect, potential loss of container integrity.","MVASI (bevacizumab-awwb), Injection, For Intravenous Infusion After Dilution, 100 mg/4 ml, Single dose vial, Rx only, Manufactured by Amgen Inc. Thousand Oaks, CA 91320-1799, NDC 55513-0206-01 Lots: 1142258, 1143196, Exp. 09/24"
Health Canada,https://recalls-rappels.canada.ca/en/alert-recall/leucovorin-calcium-injection-out-specification,Leucovorin,Canada,,,2022-05-13T00:00:00+00:00,Product safety,Product safety. Leucovorin Calcium Injection: Out of Specification
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0765-2022,Idarubicin,United States,,,2022-04-20T00:00:00,Presence of Particulate Matter: Product was found to contain silica and iron oxide,"IDArubicin Hydrochloride Injection USP 5gm/5mL (1mg/mL) for intravenous use, 5mL Single Dose Vial, Rx Only, Teva Pharmaceuticals, USA, Inc., North Wales, PA 19454, NDC 0703-4154-11. Lot #: 31329657B, Exp. Date 08/2023"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0713-2022,Dexamethasone,United States,Morton Grove Pharmaceuticals,,2022-03-09T00:00:00,Failed Impurities/Degradation Specifications: higher than permissible levels of unknown impurities were found in the drug product.,"Dexamethasone Elixir, USP 0.5 mg/5 mL, Net: 8 fl oz (237 mL) bottle, Rx only, Manufactured By: Morton Grove Pharmaceuticals, Inc., Morton Grove, IL 60053, NDC 60432-466-08. Lot #s: UV1004, UV1005, Exp 6/22; UW1014, UW1015, Exp 1/23; UW1084, Exp 7/23"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0575-2022,Azacitidine,United States,. By: Dr. Reddy's Laboratories Limited,,2022-03-02T00:00:00,Failed stability specifications,"Azacitidine, 1,00mg/Vial, One Single-dose Vial, Rx Only, Mfd. By: Dr. Reddy's Laboratories Limited, Visakhapatnam - 530 046, India, NDC 43598-305-62 Lot #: H200101, H200102, H200099, H200100 & H200106, Exp 8/1/2023; H210015, H210014 & H210013, Exp 11/1/2023; H210086, Exp 12/1/2023; H210130, Exp 1/1/2024; H210171, H210172, H210173, H210174, Exp 2/1/2024; H210196 & H210197, Exp 3/1/2024; H210283 & H210282, Exp 4/1/2024; H210382, H210381, H210419 & H210420, Exp 7/1/2024, H210445, Exp 8/1/2024."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0577-2022,Bortezomib,United States,. By: Dr. Reddy's Laboratories Limited,,2022-03-02T00:00:00,Failed stability specifications,"Bortezomib, 3.5 mg/vial, Single-Dose Vial, Rx Only, Mfd. By: Dr. Reddy's Laboratories Limited, Visakhapatnam - 530 046, India, NDC 43598-865-60 Lot # H210233, Exp 3/1/2023"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0576-2022,Azacitidine,United States,. By: Dr. Reddy's Laboratories Limited,,2022-03-02T00:00:00,Failed stability specifications,"Azacitidine, 100mg/vial, One Single-dose Vial, Rx Only, Mfd. By: Dr. Reddy's Laboratories Limited, Visakhapatnam - 530 046, India, NDC 43598-465-62 Lot#: H200107, Exp 8/1/2023; H200154, Exp 9/1/2023; H210020, Exp 11/1/2023; H210055, Exp 12/1/2023; H210129, Exp 1/1/2024, H210288, Exp 4/1/2024."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0406-2022,Methotrexate,United States,,,2022-02-02T00:00:00,Lack of Assurance of Sterility,"Methotrexate, USP, Sterile Solution for Injection (PF), 125 mg/5mL (2mg/mL), 5 mL per syringe, Edge Pharma, LLC, 856 Hercules Dr, Colchester, VT 05446, NDC 05446-1505-05 09-2021-10@2 12/23/2021, 10-2021-21@2 02/01/2022 &  11-2021-09@5 02/21/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0403-2022,Gemcitabine,United States,,,2022-02-02T00:00:00,Lack of Assurance of Sterility,"Gemcitabine, Sterile Intravesical Solution, Preservative Free, 1g/50mL (20 mg/mL), 50 mL per syringe, Single Dose Syringe for Intravesical Use, Edge Pharma, LLC, 856 Hercules Dr., Colchester, VT 05446, NDC 05446-1566-50 08-2021-18@1 12/14/2021,  08-2021-27@1 12/09/2021, 09-2021-01@4 12/14/2021, 09-2021-08@2 12/21/2021, 09-2021-14@6 01/05/2021, 09-2021-16@4 12/29/2021, 09-2021-17@4 12/30/2021, 09-2021-22@3 01/04/2022 & 10-2021-27@3 02/08/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0399-2022,Dexamethasone,United States,,,2022-02-02T00:00:00,Lack of Assurance of Sterility,"Dexamethasone sodium phosphate, sterile otic solution for injection Preservative free, 19.2 mg/0.8mL (24mg/mL), 0.8 mL per syringe Single Use Syringe For Otic Injection, Edge Pharma LLC, 856 Hercules Dr., Colchester, VT 05446, NDC 05446-0848-01 09-2021-28@1 01/10/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0412-2022,Mvasi,United States,,,2022-02-02T00:00:00,Lack of Assurance of Sterility,"MVASI, (bevacizumab-awwb), Sterile Ophthalmic Solution for Injection, 3.25mg/0.13mL (25 mg/mL) 0.13 mL per syringe, Dose: 1.25mg/0.05mL, Single Use Syringe For Intraocular Injection, Edge Pharma, LLC, 856 Hercules Dr. Colchester, VT 05446,  NDC 05446-1661-13 11-2021-01@2 12/15/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0433-2022,Dexamethasone,United States,,,2022-02-02T00:00:00,CGMP Deviations,"Dexamethasone sodium phosphate 0.4%, 120 mL per bottle, Multiple Dose Container For Topical Use, Edge Pharma, LLC, 856 Hercules Dr., Colchester, VT 05446, NDC 05446-0622-01 06-2021-23@6 12-20-2021, 09-2021-15@4 03-14-2022 & 10-2021-04@10 04-02-2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0820-2021,Fulvestrant,United States,,,2021-09-29T00:00:00,Lack of Assurance of Sterility,Fulvestrant Injection 250 mg/5 mL (50 mg/mL) For Intramuscular Use Only Contains 2 single-dose pre-filled syringes Rx only NDC 68462-317-32 Lots: 30200014 Exp. 04/30/2022; 30200015 Exp. 05/31/2022; 30200015 Exp. 05/31/2022; 30200016 Exp. 05/31/2022; 30200036 Exp. 09/30/2022; 30200038 Exp. 09/30/2022; 30200039 Exp. 09/30/2022; 30200040 Exp. 09/30/2022; 30210001 Exp. 12/31/2022; 30210002 Exp. 12/31/2022; 30210003 Exp. 01/31/2023; 30210004 Exp. 01/31/2023; 30210005 Exp. 01/31/2023; 30210006 Exp. 01/31/2023; 30210014 Exp. 02/28/2023; 30210022 Exp. 02/28/2023; 30210028 Exp. 02/28/2023; 30210029 Exp. 02/28/2023; 30210030 Exp. 02/28/2023; 30210031 Exp. 02/28/2023
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0813-2021,Sirolimus,United States,,American Health Packaging Columbus,2021-09-29T00:00:00,Failed Impurities/Degradation Specifications,"Sirolimus Tablets 1 mg, 30 Tablets (5 blister cards x 6 unit doses), Rx only, Packaged and Distributed by: American Health Packaging Columbus, OH 43217, NDC 68084-915-25 Lot #: 1000789, Exp. Date 10/31/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0771-2021,Bleomycin,United States,Thymoorgan Pharmazie GmbH Schiffgraben 23,Hikma USA Inc. Berkeley Heights,2021-09-01T00:00:00,Labeling: Not elsewhere classified: Mislabeling,"Bleomycin for Injection, USP, packaged in 15 units per single dose vial, Rx only, Manufactured by Thymoorgan Pharmazie GmbH Schiffgraben 23, 38690 Gosfar, Germany Distributed by Hikma USA Inc. Berkeley Heights, NJ 07922, NDC 0143-9240-01 BL0018"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0765-2021,Fludarabine,United States,for: Leucadia Pharmaceuticals Carlsbad,,2021-09-01T00:00:00,Lack of Assurance of Sterility: the manufacturing firm had microbial recoveries during environmental monitoring in aseptic areas of manufacturing.,"FLUDARABINE PHOSPHATE FOR INJECTION, USP, 50 mg per vial, Single dose vial, Rx Only,    Mfd for: Leucadia Pharmaceuticals Carlsbad, CA 92011 U.S.A, NDC 24201-237-01 Lot#  31327913C, Exp. Date 10/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0734-2021,Idarubicin,United States,,,2021-08-25T00:00:00,Lack of Assurance of Sterility,"Idarubicin Hydrochloride Injection 20 mg/20 mL, 20 mL single-dose vial, Rx only, Teva Pharmaceuticals USA, Inc. North Wales, PA 19454, NDC 0703-4156-11 Lot #: 31328668B, exp. date 04/2023"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0747-2021,Leucovorin,United States,Teva Pharmaceuticals USA,,2021-08-25T00:00:00,Lack of Assurance of Sterility,"Leucovorin Calcium for Injection, USP 350 mg/vial, 17.5 mL single-use vials, Rx only, Manufactured by: Teva Pharmaceuticals USA, Inc. North Wales, PA 19454, NDC 0703-5145-91 Lot #: 313282585B, exp. date 11/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0730-2021,Daunorubicin,United States,,,2021-08-25T00:00:00,Lack of Assurance of Sterility,"DAUNOrubicin Hydrochloride Injection 20 mg/4mL, 4mL Single Dose vials, 10 in 1 carton, Rx only, Teva Parenteral Medicines, Inc. Irvine, CA 92618  Vial NDC# 0703-5233-11, Carton NDC # 0703-5233-13 Lot #: 31329250B, exp. date 08/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0737-2021,Leucovorin,United States,,,2021-08-25T00:00:00,Lack of Assurance of Sterility,"Leucovorin Calcium for Injection, USP 350 mg/vial, 17.5 mL single-use vials, Rx only, Teva Parenteral Medicines, Inc. Irvine, CA 92618, NDC 0703-5145-01 Lot #: 31325852B, 31325985B, exp. date 10/2021; 31326349B, exp. date 01/2022; 31326873B, exp. date 03/2022; 31326995B, exp. date 05/2022  31327158B, exp. date 06/2022; 31328946B, 31329180B, exp. date 05/2023."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0746-2021,Leucovorin,United States,,,2021-08-25T00:00:00,Lack of Assurance of Sterility,"Leucovorin Calcium for Injection, USP 100 mg/vial, 10 mL single-use vials, Rx only, Teva Parenteral Medicines, Inc. Irvine, CA 92618, NDC 0703-5140-01 Lot #: 31325596B, exp. date 08/2021; 31328129B, exp. date 11/2022; 31328356B, exp. date 01/2023; 31329297B, exp. date 06/2023; 31329569B, 31329821B, exp. date 08/2023"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0661-2021,Topotecan,United States,,,2021-07-14T00:00:00,"Presence of Particulate Matter: Complaint received of a glass particle observed inside the vial. The vial was returned to Teva for further analysis where two other particulates were found and identified as one (1) grey silicone particle and one (1) translucent, colorless cotton fiber.","Topotecan Injection 4 mg/4mL (1 mg/mL), Single-Dose vial, Teva Pharmaceuticals USA, Inc. North Whales, PA 19454, Carton NDC# 0703-4714-01, Vial NDC# 0703-4714-71 Lot # 31328962B, exp. date 04/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0440-2021,Ondansetron,United States,,,2021-06-02T00:00:00,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,ONDANSETRON HCL 4MG 30; NDC/UPC 65862018730; RX; TABLETS ON0420015-A
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0493-2021,Leucovorin,United States,,,2021-06-02T00:00:00,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,LEUCOVORIN 15MG 24; NDC/UPC 54449810; RX; TABLETS 064159A
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0432-2021,Gemcitabine,United States,,,2021-06-02T00:00:00,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,GEMCITABINE INJECTION 200MG/5.26ML; NDC/UPC 72485-221-02; RX; SINGLEDOSE VIAL 7T10050A
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0553-2021,Methotrexate,United States,,Hospira,2021-06-02T00:00:00,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"Methotrexate Injection, USP 50 mg/2mL (25 mg/mL) 5 x 2mL Single-Dose Vials, Sterile, Rx Only, Distributed by Hospira, Inc. Lake Forest, IL 60045. NDC 61703-350-38. H074437AA"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0374-2021,Leucovorin,United States,Teva Pharmaceuticals USA,,2021-05-26T00:00:00,Lack of Assurance of Sterility,"Leucovorin Calcium for Injection, equivalent to leucovorin 350 mg/vial (20 mg/mL), Rx Only, FOR IM or IV Use, Sterile, Teva Parenteral Medicines, Inc., Irvine, CA  NDC 0703-5145-01; ALSO LABELED UNDER: NOVAPLUS, Manufactured By: Teva Pharmaceuticals USA, Inc., North Wales, PA 19454 NDC 0703-5145-91 (Novaplus, a registered trademark of Vizient, Inc.) NDC 0703-5145-01: Lot # 31325332B, exp. date 08/2021, Lot # 31325756B, exp. date 09/2021 AND NDC 0703-5145-91: Lot # 31325685B, exp. date 09/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0309-2021,Romidepsin,United States,,,2021-03-24T00:00:00,Failed Impurity/Degradation Specifications: Out-of-specifications results observed for impurities during stability testing.,"Romidepsin Injecton, 27.5 mg/5.5 mL (5 mg/mL) Rx Only, 5.5 ml vial, Teva Pharmaceuticals USA, Inc. NDC 0703-4004-01 Lot # 31328184C, exp. date 11/2021  Lot # 31327686C, exp. date 08/2021  Lot # 31327685C, exp. date 08/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0270-2021,Irinotecan,United States,,Areva Pharmaceuticals,2021-03-03T00:00:00,"CGMP Deviations: based on a Warning Letter received by the manufacturer of the recalled product for inadequate out-of specification investigations, complaint and the investigation conclusions.","Irinotecan Hydrochloride Injection, USP, 40 mg/2 mL (20 mg/mL), 2 mL Single-Dose Vial, Rx Only, Distributed by: Areva Pharmaceuticals, Inc., Gerogetown, IN 47122, Made in India, NDC 59923-714-02. Lot 7S10022A, Exp Jan-21"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0271-2021,Dacarbazine,United States,,,2021-03-03T00:00:00,Lack of Assurance of Sterility: manufacturing areas for the recalled products exceeded acceptance levels for microbial recovery leading to a lack of sterility assurance for these sterile injectable products.,"Dacarbazine for Injection USP, 200 mg, Single Use Vial (NDC 0703-5075-01), packaged in 10X20 ML Single Use Vials per tray (NDC 0703-5075-03); Rx only, TEVA Pharmaceuticals USA, INC., North Wales, PA  19454. Lot # 31326582B, exp. date 02/2022;  Lot # 31326964B, exp. date 04/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0285-2021,Leucovorin,United States,Teva Pharmaceuticals USA,,2021-03-03T00:00:00,Lack of Assurance of Sterility: manufacturing areas for the recalled products exceeded acceptance levels for microbial recovery leading to a lack of sterility assurance for these sterile injectable products.,"Leucovorin Calcium for Injection, USP, 350 mg/vial, Rx only, labeled as a) Teva Parenteral Medicines, Inc., Irvine, CA  92618, and b) Manufactured By: Teva Pharmaceuticals USA, Inc., North Wales, PA  19454, novaplus+, NDC 0703-5145-01. Lot # a) 31324653B, exp. date 03/2021; 31326066B, exp. date 11/2021; 31326428B, exp. date 02/2022; 31327949B, exp. date 10/2022; 31327995B, exp. date 10/2022; 31328031B, exp. date 11/2022; 31328217B, exp. date 12/2022; 31328325B, exp. date 12/2022; 31328425B, exp. date 07/2021;  Lot # b) 31324480B, exp. date 02/2021; Lot # 31327396B, exp. date 08/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0287-2021,Imatinib,United States,,Dr. Reddy's Laboratories Inc.,2021-03-03T00:00:00,Failed Dissolution Specifications,"Imatinib Mesylate Tablets 100mg, packaged as a) 90-count bottles (NDC 43598-344-90); and b) For Institutional Use Only 30-count (3 x 10 unit-dose) tablets per carton (NDC 43598-344-31); Rx only, Distributor: Dr. Reddy's Laboratories Inc., Princeton, NJ 08540; Made in India. Lot #: a) H2000206, Exp 06/22; b) H2000138, Exp 06/22"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0276-2021,Leucovorin,United States,,,2021-03-03T00:00:00,Lack of Assurance of Sterility: manufacturing areas for the recalled products exceeded acceptance levels for microbial recovery leading to a lack of sterility assurance for these sterile injectable products.,"Leucovorin Calcium for Injection, USP, 100 mg/vial, Single-Dose Vial, Rx only, Teva Parenteral Medicines, Inc., Irvine, CA  92618, NDC 0703-5140-01. Lot #   31326364B, exp. date 01/2022  31327120B, exp. date 05/2022  31327963B, exp. date 10/2022"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0237-2021,Human,United States,,,2021-01-27T00:00:00,CGMP deviations: Lack of potency testing.,"HUMAN CHORIONIC GONADOTROPIN 1,250 IU per vial Aso contains Mannitol 9%, Sodium Phosphate 2% in water for injection. Lyophilized, Unpreserved. Complete Pharmacy & Medical Solutions 5829 NW 158th St, Miami Lakes, FL 33014 Tel: 305-397-2035 Lot #: 40548, Use By Date, 01/30/2021."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0235-2021,Human,United States,,,2021-01-27T00:00:00,CGMP deviations: Lack of potency testing.,"HUMAN CHORIONIC GONADOTROPIN 6,000 IU per vial Aso contains Mannitol 9%, Sodium Phosphate 2% in water for injection. Lyophilized, Unpreserved. Complete Pharmacy & Medical Solutions 5829 NW 158th St, Miami Lakes, FL 33014 Tel: 305-397-2035 Lot# 40604 Use By date, 01/30/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0234-2021,Human,United States,,,2021-01-27T00:00:00,CGMP deviations: Lack of potency testing.,"HUMAN CHORIONIC GONADOTROPIN 11,000 IU per vial Aso contains Mannitol 9%, Sodium Phosphate 2% in water for injection. Lyophilized, Unpreserved. Complete Pharmacy & Medical Solutions 5829 NW 158th St, Miami Lakes, FL 33014 Tel: 305-397-2035 Lot #: 40568 Use By Date: 01/30/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0236-2021,Human,United States,,,2021-01-27T00:00:00,CGMP deviations: Lack of potency testing.,"HUMAN CHORIONIC GONADOTROPIN 5,000 IU per vial Aso contains Mannitol 9%, Sodium Phosphate 2% in water for injection. Lyophilized, Unpreserved. Complete Pharmacy & Medical Solutions 5829 NW 158th St, Miami Lakes, FL 33014 Tel: 305-397-2035 Lot #: 40570 Use By Date 01/30/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0226-2021,Methotrexate,United States,,,2021-01-20T00:00:00,Lack of Assurance of Sterility; the media used to conduct post-compounding sterility testing for the Methotrexate product was expired.,"Methotrexate, USP Sterile Solution for Injection, Preservative Free 125mg/5ml (25mg/ml), 5 mL per syringe, Rx Only, SYRINGE FOR IM INJECTION, Edge Pharma, LLC 856 Hercules Dr. Colchester, VT 05446 Customer Service (USA) 1-802-992-1178, Barcode 0544650505 Lot# 01-2020-28@10"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0177-2021,Dexamethasone,United States,,,2021-01-06T00:00:00,Lack of assurance of sterility: 13 vials were discovered to have faulty crimps.,"Dexamethasone - Moxifloxacin PF Injection (1/5) mg/mL, Imprimis Rx Volume: 1mL/vial, Imprimis NJOF, LLC. 1705 Route 46 West, Unit 6B Ledgewood, NJ - 07852 (844)446-6979 Lot#: 20JUN010, Exp 5/12/21"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0165-2021,Azacitidine,United States,Shilpa Medicare Limited Jadcherla -509301 INDIA Distributed by: Cipla USA,Cipla USA,2020-12-23T00:00:00,cGMP deviations: Vials may not be sealed correctly affecting sterility.,"Azacitidine for Injection 100 mg/vial For Subcutaneous and Intravenous Use Only Single-Dose Vial Manufactured by Shilpa Medicare Limited Jadcherla -509301 INDIA Distributed by: Cipla USA, Inc. 10 Independence Blvd, Suite 300 Warren, NJ 07059 NDC 69097-805-40 Lot #: 7S10182A, Ex 9/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0125-2021,Imatinib,India,Shilpa Medicare Limited,Armas Pharmaceuticals Inc.,2020-12-16T00:00:00,CGMP Deviations,"Imatinib Mesylate Tablets 400 mg, Rx Only, 30-count Bottle, Manufactured by: Shilpa Medicare Limited, India, Distributed by: Armas Pharmaceuticals Inc., Manalapan, NJ 07726, NDC 72485-203-30. Lot #s: 7S10032A, 7S10034A, Exp. 02/28/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0126-2021,Docetaxel,India,Shilpa Medicare Limited,Armas Pharmaceuticals,2020-12-16T00:00:00,CGMP Deviations,"Docetaxel Injection USP 160 mg/8mL (20 mg/mL), For Intravenous Infusion Only, Rx Only, 8 mL Single Use Vial, Cytotoxic Agent, Manufactured by: Shilpa Medicare Limited, India, Distributed by: Armas Pharmaceuticals, Inc., Manalapan, NJ 07726, NDC 72485-216-08. Lot #: 7S10185A, Exp. 10/31/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0121-2021,Busulfan,India,Shilpa Medicare Limited,Armas Pharmaceuticals,2020-12-16T00:00:00,CGMP Deviations,"Busulfan Injection 60 mg/10 mL (6 mg/mL), For Intravenous Infusion Only, Must be diluted before use, Single Dose Vial, Sterile, Cytotoxic Agent, Rx Only, 10 mL vial, Manufactured by: Shilpa Medicare Limited, India, Distributed by: Armas Pharmaceuticals, Inc., Manalapan, NJ 07726, Vial NDC 72485-210-01, Carton NDC 72485-210-08. Lot #: 7S10008B, Exp. 12/31/2020"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0123-2021,Azacitidine,India,Shilpa Medicare Limited,Armas Pharmaceuticals,2020-12-16T00:00:00,CGMP Deviations,"Azacitidine for Injection 100 mg/vial, For Subcutaneous and Intravenous Use Only, Rx Only, One Single Dose Vial, Cytotoxic Agent, Manufactured by: Shilpa Medicare Limited, India, Distributed by: Armas Pharmaceuticals, Inc., Manalapan, NJ 07726, NDC 72606-558-01. Lot #: 7S10227A, Exp. 10/31/2021"
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0122-2021,Azacitidine,India,Shilpa Medicare Limited,Armas Pharmaceuticals,2020-12-16T00:00:00,CGMP Deviations,"Azacitidine for Injection 100 mg/vial, For Subcutaneous and Intravenous Use Only, Rx Only, One Single Dose Vial, Cytotoxic Agent, Manufactured by: Shilpa Medicare Limited, Jadcherla, 509301, India, Distributed by: Armas Pharmaceuticals, Inc. Manalapan, NJ 07726  NDC 72485-201-01. Lot #s: 7S10115A, Exp. 07/31/2021; 7S10143A, 7S10182B, Exp. 09/30/2021; 7S10255A, 7S10256A, 7S10263A, Exp. 11/30/2021; 7T10028A, 12/31/2021; 7T10040A, Exp. 01/31/2022."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0124-2021,Imatinib,India,Shilpa Medicare Limited,Armas Pharmaceuticals Inc.,2020-12-16T00:00:00,CGMP Deviations,"Imatinib Mesylate Tablets 100 mg, Rx Only, 90-count Bottle, Manufactured by: Shilpa Medicare Limited, India, Distributed by: Armas Pharmaceuticals Inc., Manalapan, NJ 07726, NDC 72485-202-90. Lot #s: 7S10033B, 7S10033A, 7S10031A, Exp. 02/28/2021."
U.S. Food and Drug Administration (FDA),https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0105-2021,Doxorubicin,United States,,,2020-12-02T00:00:00,Cross Contamination with Other Products: trace amounts of octreotide found during testing,"DOXOrubicin Hydrochloride Injection, USP, 10 mg / 5 mL (2 mg / mL), 5 mL fill in a 6 mL vial, Single Dose Vial, Rx only, Sterile, Fresenius Kabi, Lake Zurich, IL 60047.  NDC: 63323-883-05 Batch: 6120525, exp 11/2020"
